slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
nagahama,長浜ラーメン,Nagahama Ramen,Nagahama Ramen — the fish-market bowl behind Hakata's thin noodle,福岡県,福岡市中央区長浜,33.5975,130.3956,豚骨,dish,福岡市の鮮魚市場そばで育った豚骨ラーメン。1952年開業の「元祖長浜屋」が濃厚な白濁スープを打ち出したと伝わり、博多の極細麺・替え玉文化のもとになったとされる一杯。,"A pork-bone ramen that grew up beside Fukuoka's fish market. The 1952 shop Ganso Nagahamaya is said to have pushed the broth toward a thick, cloudy white, and the style is often named as a root of Hakata's ultra-thin noodle and kaedama refill culture.",元祖長浜屋 公式サイト,https://www.ganso-nagahamaya.com/,元祖長浜屋,2026-09-15
yaki-ramen,焼きラーメン,Yaki Ramen,Yaki Ramen — pork-bone ramen noodles grilled with sauce on an iron plate,福岡県,福岡市中央区天神,33.5926,130.3987,豚骨,dish,茹でたラーメンの麺に豚骨スープと特製ソースを絡め、鉄板で焼き上げる一皿。1968年創業の天神の屋台「小金ちゃん」が生んだとされ、酒の締めや肴として食べられてきた。,"Boiled ramen noodles tossed with pork-bone broth and a house sauce, then seared on an iron plate. Credited to Kokin-chan, a food stall founded in 1968 in Fukuoka's Tenjin district, and eaten both as a late-night dish and a drinking companion.",小金ちゃん,https://yokanavi.com/spots/122526,福岡市観光情報サイト よかなび,2026-09-15
chanraa,ちゃんらー,Chanraa,Chanraa — chanpon noodles dropped into a Japanese-style broth,福岡県,北九州市門司区,33.9461,130.9614,その他,dish,北九州市門司区の食堂で生まれたとされる麺料理。ちゃんぽん麺をいりこだしのうどん風つゆに入れた一杯で、長崎ちゃんぽんを食べたいが小遣いが足りない生徒のために考えられたと伝わる。,"A noodle dish said to have started at a diner in Moji, Kitakyushu. Chanpon-style noodles go into a Japanese dried-sardine broth closer to udon than to the original pork-and-seafood soup, devised, it's said, for a student who wanted Nagasaki champon but couldn't afford it.",門司港ちゃんら〜誕生秘話,https://chanra.jp/birth/,二代目清美食堂 公式サイト,2026-09-15
majenba,マジェンバ,Majenba,Majenba — Ogi's mix-it-yourself noodles under a sweet-spicy sauce,佐賀県,小城市,33.2725,130.227,その他,dish,佐賀県小城市で2011年に考案された混ぜ麺。名前は「混ぜてください」を意味する佐賀弁「混ぜんば」から来ており、小城産の食材を乗せた麺を甘辛いタレとよく混ぜて食べる。,"A mix-it-yourself noodle dish devised in Ogi, Saga Prefecture in 2011. The name comes from the local dialect majenba, meaning roughly please mix it, and diners stir noodles topped with Ogi-grown ingredients into a sweet-spicy sauce.",小城のご当地グルメ！マジェンバ！！,https://www.ogi-kankou.com/majenba,オギナビ（小城市観光協会）,2026-09-15
hirado-ago,あごだしラーメン,Agodashi Ramen,Agodashi Ramen — flying-fish stock from the islands off Hirado,長崎県,平戸市生月町,33.3567,129.4326,醤油,dish,長崎県平戸市の生月島を発祥とするラーメン。あご（飛魚）の焼き干しでとった出汁を軸にした醤油ベースのスープで、あごだし文化が根づく長崎県内の広い地域で食べられている。,"A ramen said to have started on Ikitsuki island off Hirado, Nagasaki Prefecture. A soy-based broth built on grilled and dried flying-fish stock, eaten across a wider stretch of Nagasaki where agodashi is part of everyday cooking.",元祖あごだしラーメンの大氣圏,https://agodashi-ramen.com/,大氣圏,2026-09-15
tamana,玉名ラーメン,Tamana Ramen,Tamana Ramen — the Kurume-lineage bowl that fed Kumamoto's founders,熊本県,玉名市,32.9421,130.5773,豚骨,dish,熊本県玉名市のご当地ラーメン。1952年に久留米の名店「三九」が旧国鉄高瀬駅前に出店したのが始まりとされ、この味に感銘を受けた人々が後の熊本ラーメンの代表店を興したと伝わる。,"A pork-bone ramen from Tamana, Kumamoto Prefecture. Said to trace to 1952, when the Kurume shop Sanku opened a branch near the old Takase station, and to have inspired the founders of Kumamoto ramen's leading shops after tasting it there.",玉名ラーメン,https://ja.wikipedia.org/wiki/玉名ラーメン,Wikipedia,2026-09-13
saiki,佐伯ラーメン,Saiki Ramen,"Saiki Ramen — a salty, garlicky bowl built for port and shipyard workers",大分県,佐伯市,32.9601,131.8987,醤油,dish,大分県佐伯市のご当地ラーメン。醤油豚骨系のスープに柔らかい麺、強めの塩気とにんにくパウダー・黒コショウが特徴で、漁業と造船業が盛んな土地の労働者に向いた一杯とされる。,"A ramen from Saiki, Oita Prefecture. A soy-and-pork-bone broth with soft noodles, notably salty and heavy on garlic powder and black pepper — a bowl said to suit workers in a town built on fishing and shipbuilding.",大分が誇るご当地ラーメン！地元で愛される佐伯ラーメン５選,https://edit.pref.oita.jp/series/local-gourmet/3102/,edit Oita（大分県公式サイト）,2026-09-15
karamen,宮崎辛麺,Karamen,Karamen — Nobeoka's fiery noodle in a chili-red broth,宮崎県,延岡市,32.5781,131.6602,その他,dish,宮崎県延岡市発祥の激辛麺料理。1987年、居酒屋のサイドメニューとして生まれたとされ、小麦粉とそば粉から作るコシの強い麺を、唐辛子で真っ赤に染めたスープで食べる。,"A fiery noodle dish that started in Nobeoka, Miyazaki Prefecture. Said to have begun in 1987 as a side dish at an izakaya, with a firm noodle made from wheat and buckwheat flour served in a broth dyed deep red with chili.",会社概要,https://www.karamenya-masumoto.com/company/,辛麺屋 桝元,2026-09-15
kushikino,串木野まぐろラーメン,Kushikino Maguro Ramen,Kushikino Tuna Ramen — a port town's answer built on raw tuna,鹿児島県,いちき串木野市,31.7167,130.2667,醤油,dish,遠洋まぐろ漁の基地だった鹿児島県串木野港にちなむご当地ラーメン。2000年頃、地元の飲食業者らが町おこしのために開発したとされ、チャーシューの代わりに生まぐろの漬けをのせるのが特徴。,"A ramen named for Kushikino port in Kagoshima, once a base for offshore tuna fishing. Said to have been developed around 2000 by local restaurateurs and a food trade group as a town-promotion dish, topped with marinated raw tuna in place of chashu.",食・グルメ（串木野まぐろラーメン）,https://ichiki-kushikino.com/gourmet/,いちき串木野市総合観光サイト,2026-09-15
makurazaki,枕崎かつおラーメン,Makurazaki Katsuo Ramen,Makurazaki Bonito Ramen — a katsuobushi town's take on ramen,鹿児島県,枕崎市,31.2726,130.2987,塩,dish,鰹節の産地として知られる鹿児島県枕崎市のご当地ラーメン。2008年度の地域資源プロジェクトで開発されたとされ、枕崎産の本枯節を主体としたあっさりスープに、鰹を使った具を合わせる。,"A ramen from Makurazaki, Kagoshima Prefecture, a town known for producing katsuobushi. Developed, it's said, through a 2008 regional-resource project, built on a light broth centered on locally made hon-karebushi bonito flakes with bonito-based toppings.",かつおラーメン,https://www.city.makurazaki.lg.jp/soshiki/suisan/359.html,枕崎市,2026-09-15
